tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,6532,0,live,SLC6A4,"5-HTT, 5-HTTLPR, 5HTT, HTT, OCD1, SERT, SERT1, hSERT",solute carrier family 6 member 4,"; sodium-dependent serotonin transporter|5-hydroxytryptamine (serotonin) transporter|5HT transporter|Na+/Cl- dependent serotonin transporter|serotonin transporter 1|solute carrier family 6 (neurotransmitter transporter), member 4|solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",17q11.2,17,NC_000017.11,30194319,30235697,minus,15,182138
9606,Homo sapiens,3586,0,live,IL10,"CSIF, GVHDS, IL-10A, TGIF, IL10",interleukin 10,; interleukin-10|T-cell growth inhibitory factor|cytokine synthesis inhibitory factor,1q32.1,1,NC_000001.11,206767602,206772494,minus,5,124092
9606,Homo sapiens,1756,0,live,DMD,"BMD, CMD3B, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272, MRX85",dystrophin,; dystrophin,Xp21.2-p21.1,X,NC_000023.11,31119219,33339460,minus,89,300377
9606,Homo sapiens,351,0,live,APP,"AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, preA4, APP",amyloid beta precursor protein,; amyloid-beta precursor protein|alzheimer disease amyloid protein|amyloid beta (A4) precursor protein|amyloid beta A4 protein|amyloid precursor protein|beta-amyloid peptide|beta-amyloid peptide(1-40)|beta-amyloid peptide(1-42)|beta-amyloid precursor protein|cerebral vascular amyloid peptide|peptidase nexin-II|protease nexin-II|testicular tissue protein Li 2,21q21.3,21,NC_000021.9,25880550,26171128,minus,20,104760
9606,Homo sapiens,7040,0,live,TGFB1,"CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta",transforming growth factor beta 1,; transforming growth factor beta-1 proprotein|TGF-beta-1|latency-associated peptide|prepro-transforming growth factor beta-1|transforming growth factor beta1,19q13.2,19,NC_000019.10,41330323,41353922,minus,7,190180
9606,Homo sapiens,3576,0,live,CXCL8,"GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1",C-X-C motif chemokine ligand 8,"; interleukin-8|T-cell chemotactic factor|alveolar macrophage chemotactic factor I|beta endothelial cell-derived neutrophil activating peptide|beta-thromboglobulin-like protein|chemokine (C-X-C motif) ligand 8|emoctakin|granulocyte chemotactic protein 1|interleukin 8|lung giant cell carcinoma-derived chemotactic protein|lymphocyte derived neutrophil activating peptide|monocyte-derived neutrophil chemotactic factor|monocyte-derived neutrophil-activating peptide|neutrophil-activating peptide 1|small inducible cytokine subfamily B, member 8|tumor necrosis factor-induced gene 1",4q13.3,4,NC_000004.12,73740569,73743716,plus,4,146930
9606,Homo sapiens,2908,0,live,NR3C1,"GCCR, GCR, GCRST, GR, GRL",nuclear receptor subfamily 3 group C member 1,"; glucocorticoid receptor|glucocorticoid nuclear receptor variant 1|nuclear receptor subfamily 3 group C member 1 variant hGR-B(54)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(77)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(93)|nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",5q31.3,5,NC_000005.10,143277931,143435512,minus,16,138040
9606,Homo sapiens,2099,0,live,ESR1,"ER, ESR, ESRA, ESTRR, Era, NR3A1",estrogen receptor 1,; estrogen receptor|E2 receptor alpha|ER-alpha|estradiol receptor|estrogen nuclear receptor alpha|estrogen receptor alpha E1-E2-1-2|estrogen receptor alpha E1-N2-E2-1-2|nuclear receptor subfamily 3 group A member 1|oestrogen receptor alpha,6q25.1-q25.2,6,NC_000006.12,151654148,152129619,plus,23,133430
9606,Homo sapiens,2917,0,live,GRM7,"GLUR7, GPRC1G, MGLU7, MGLUR7, PPP1R87",glutamate metabotropic receptor 7,"; metabotropic glutamate receptor 7|glutamate receptor, metabotropic 7|protein phosphatase 1, regulatory subunit 87",3p26.1,3,NC_000003.12,6861115,7743038,plus,19,604101
9606,Homo sapiens,5728,0,live,PTEN,"10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC11, PTENbeta, TEP1, PTEN",phosphatase and tensin homolog,"; phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|MMAC1 phosphatase and tensin homolog deleted on chromosome 10|mitochondrial PTENalpha|mitochondrial phosphatase and tensin protein alpha|mutated in multiple advanced cancers 1|phosphatase and tensin-like protein|phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|protein tyrosine phosphatase",10q23.31,10,NC_000010.11,87863625,87971930,plus,10,601728
9606,Homo sapiens,133,0,live,ADM,"AM, PAMP",adrenomedullin,; ADM|preproadrenomedullin|proadrenomedullin N-20 terminal peptide,11p15.4,11,NC_000011.10,10305073,10307397,plus,4,103275
9606,Homo sapiens,4137,0,live,MAPT,"DDPAC, FTDP-17L, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, MAPT",microtubule associated protein tau,"; microtubule-associated protein tau|G protein beta1/gamma2 subunit-interacting factor 1|PHF-tau|neurofibrillary tangle protein|paired helical filament-tau|protein phosphatase 1, regulatory subunit 103",17q21.31,17,NC_000017.11,45894382,46028334,plus,15,157140
9606,Homo sapiens,3952,0,live,LEP,"LEPD, OB, OBS",leptin,"; leptin|leptin (murine obesity homolog)|leptin (obesity homolog, mouse)|obese protein|obese, mouse, homolog of|obesity factor",7q32.1,7,NC_000007.14,128241201,128257629,plus,3,164160
9606,Homo sapiens,9370,0,live,ADIPOQ,"ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28","adiponectin, C1Q and collagen domain containing",; adiponectin|30 kDa adipocyte complement-related protein|adipocyte complement-related 30 kDa protein|adipose most abundant gene transcript 1 protein|adipose specific collagen-like factor|gelatin-binding protein 28,3q27.3,3,NC_000003.12,186842710,186858463,plus,4,605441
9606,Homo sapiens,3479,0,live,IGF1,"IGF, IGF-I, IGFI, MGF",insulin like growth factor 1,; insulin-like growth factor I|insulin-like growth factor 1 (somatomedin C)|insulin-like growth factor IB|mechano growth factor|somatomedin-C,12q23.2,12,NC_000012.12,102395860,102481839,minus,7,147440
9606,Homo sapiens,5743,0,live,PTGS2,"COX-2, COX2, GRIPGHS, PGG/HS, PGHS-2, PHS-2, hCox-2",prostaglandin-endoperoxide synthase 2,; prostaglandin G/H synthase 2|PGH synthase 2|PHS II|cyclooxygenase 2|cyclooxygenase 2b|prostaglandin H2 synthase 2|prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),1q31.1,1,NC_000001.11,186671791,186680423,minus,10,600262
9606,Homo sapiens,6622,0,live,SNCA,"NACP, PARK1, PARK4, PD1",synuclein alpha,"; alpha-synuclein|I+/--synuclein|non A-beta component of AD amyloid|synuclein alpha-140|synuclein, alpha (non A4 component of amyloid precursor)|truncated alpha synuclein",4q22.1,4,NC_000004.12,89724099,89838324,minus,10,163890
9606,Homo sapiens,3091,0,live,HIF1A,"HIF-1-alpha, HIF-1A, HIF-1alpha, HIF1, HIF1-ALPHA, MOP1, PASD8, bHLHe78",hypoxia inducible factor 1 subunit alpha,"; hypoxia-inducible factor 1-alpha|ARNT interacting protein|PAS domain-containing protein 8|basic-helix-loop-helix-PAS protein MOP1|class E basic helix-loop-helix protein 78|hypoxia inducible factor 1 alpha subunit|hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)|hypoxia-inducible factor 1 alpha isoform I.3|hypoxia-inducible factor1alpha|member of PAS protein 1|member of PAS superfamily 1",14q23.2,14,NC_000014.9,61695513,61748259,plus,16,603348
9606,Homo sapiens,3845,0,live,KRAS,"C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras 2, KI-RAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2, KRAS","KRAS proto-oncogene, GTPase",; GTPase KRas|K-ras p21 protein|Kirsten rat sarcoma viral oncogene homolog|Kirsten rat sarcoma viral proto-oncogene|PR310 c-K-ras oncogene|c-Kirsten-ras protein|cellular c-Ki-ras2 proto-oncogene|cellular transforming proto-oncogene|oncogene KRAS2|transforming protein p21|v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog,12p12.1,12,NC_000012.12,25205246,25250929,minus,6,190070
9606,Homo sapiens,7421,0,live,VDR,"NR1I1, PPP1R163",vitamin D receptor,"; vitamin D3 receptor|1,25-dihydroxyvitamin D3 receptor|nuclear receptor subfamily 1 group I member 1|protein phosphatase 1, regulatory subunit 163|vitamin D (1,25- dihydroxyvitamin D3) receptor|vitamin D nuclear receptor variant 1",12q13.11,12,NC_000012.12,47841537,47905031,minus,12,601769
9606,Homo sapiens,301,0,live,ANXA1,"ANX1, LPC1",annexin A1,; annexin A1|annexin I (lipocortin I)|annexin-1|calpactin II|calpactin-2|chromobindin-9|epididymis secretory sperm binding protein|phospholipase A2 inhibitory protein,9q21.13,9,NC_000009.12,73151865,73170393,plus,15,151690
9606,Homo sapiens,4318,0,live,MMP9,"CLG4B, GELB, MANDP2, MMP-9",matrix metallopeptidase 9,"; matrix metalloproteinase-9|macrophage gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|type V collagenase",20q13.12,20,NC_000020.11,46008908,46016561,plus,13,120361
9606,Homo sapiens,367,0,live,AR,"AIS8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM, AR",androgen receptor,; androgen receptor|dihydrotestosterone receptor|nuclear receptor subfamily 3 group C member 4,Xq12,X,NC_000023.11,67544021,67730619,plus,11,313700
9606,Homo sapiens,207,0,live,AKT1,"AKT, CWS6, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA",AKT serine/threonine kinase 1,; RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1,14q32.33,14,NC_000014.9,104769349,104795748,minus,14,164730
9606,Homo sapiens,4790,0,live,NFKB1,"CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NFKB-p105, NFKB-p50, NFkappaB, p105, p50",nuclear factor kappa B subunit 1,; nuclear factor NF-kappa-B p105 subunit|DNA-binding factor KBF1|NF-kappabeta|nuclear factor NF-kappa-B p50 subunit|nuclear factor kappa-B DNA binding subunit|nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,4q24,4,NC_000004.12,102501266,102617302,plus,27,164011
9606,Homo sapiens,3356,0,live,HTR2A,"5-HT2A, HTR2",5-hydroxytryptamine receptor 2A,"; 5-hydroxytryptamine receptor 2A|5-HT2 receptor|5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled|serotonin 5-HT-2A receptor",13q14.2,13,NC_000013.11,46831542,46897076,minus,4,182135
9606,Homo sapiens,5468,0,live,PPARG,"CIMT1, GLM1, NR1C31, PPARG2, PPARgamma, PPARG",peroxisome proliferator activated receptor gamma,; peroxisome proliferator-activated receptor gamma|PPAR-gamma|nuclear receptor subfamily 1 group C member 3|peroxisome proliferator-activated nuclear receptor gamma variant 1,3p25.2,3,NC_000003.12,12287485,12434356,plus,11,601487
9606,Homo sapiens,4128,0,live,MAOA,"BRNRS, MAO-A",monoamine oxidase A,; amine oxidase [flavin-containing] A|monoamine oxidase type A,Xp11.3,X,NC_000023.11,43654907,43746824,plus,16,309850
9606,Homo sapiens,7099,0,live,TLR4,"ARMD10, CD284, TLR-4, TOLL",toll like receptor 4,; toll-like receptor 4|hToll|homolog of Drosophila toll|toll like receptor 4 protein,9q33.1,9,NC_000009.12,117704403,117724735,plus,4,603030
9606,Homo sapiens,1813,0,live,DRD2,"D2DR, D2R",dopamine receptor D2,; D(2) dopamine receptor|dopamine D2 receptor|dopamine receptor D2 isoform|seven transmembrane helix receptor,11q23.2,11,NC_000011.10,113409595,113475398,minus,9,126450
9606,Homo sapiens,1499,0,live,CTNNB1,"CTNNB, EVR7, MRD19, NEDSDV, armadillo",catenin beta 1,"; catenin beta-1|catenin (cadherin-associated protein), beta 1, 88kDa",3p22.1,3,NC_000003.12,41199422,41240445,plus,19,116806
9606,Homo sapiens,6570,0,live,SLC18A1,"CGAT, VAT1, VMAT1",solute carrier family 18 member A1,"; chromaffin granule amine transporter|solute carrier family 18 (vesicular monoamine transporter), member 1|solute carrier family 18 (vesicular monoamine), member 1|solute carrier family 18 member 1|vesicular amine transporter 1",8p21.3,8,NC_000008.11,20144855,20183206,minus,17,193002
9606,Homo sapiens,3458,0,live,IFNG,"IFG, IFI",interferon gamma,; interferon gamma|IFN-gamma|immune interferon,12q15,12,NC_000012.12,68154768,68159740,minus,4,147570
9606,Homo sapiens,3606,0,live,IL18,"IGIF, IL-18, IL-1g, IL1F4",interleukin 18,; interleukin-18|IFN-gamma-inducing factor|IL-1 gamma|iboctadekin|interleukin 18 (interferon-gamma-inducing factor)|interleukin-1 gamma,11q23.1,11,NC_000011.10,112143251,112164104,minus,6,600953
9606,Homo sapiens,6671,0,live,SP4,"HF1B, SPR-1",Sp4 transcription factor,; transcription factor Sp4,7p15.3,7,NC_000007.14,21428083,21514822,plus,10,600540
9606,Homo sapiens,999,0,live,CDH1,"Arc-1, BCDS1, CD324, CDHE, ECAD, LCAM, UVO",cadherin 1,"; cadherin-1|CAM 120/80|E-cadherin 1|cadherin 1, E-cadherin (epithelial)|cadherin 1, type 1, E-cadherin (epithelial)|calcium-dependent adhesion protein, epithelial|cell-CAM 120/80|epididymis secretory sperm binding protein|epithelial cadherin|uvomorulin",16q22.1,16,NC_000016.10,68737292,68835537,plus,16,192090
9606,Homo sapiens,5444,0,live,PON1,"ESA, MVCD5, PON",paraoxonase 1,; serum paraoxonase/arylesterase 1|A-esterase 1|K-45|PON 1|aromatic esterase 1|arylesterase 1|arylesterase B-type|esterase A|paraoxonase B-type|serum aryldiakylphosphatase|serum aryldialkylphosphatase 1,7q21.3,7,NC_000007.14,95297676,95324532,minus,9,168820
9606,Homo sapiens,6347,0,live,CCL2,"GDCF-2, HC11, HSMCR30, MCAF, MCP-1, MCP1, SCYA2, SMC-CF",C-C motif chemokine ligand 2,"; C-C motif chemokine 2|chemokine (C-C motif) ligand 2|monocyte chemoattractant protein-1|monocyte chemotactic and activating factor|monocyte chemotactic protein 1|monocyte secretory protein JE|small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je)|small inducible cytokine subfamily A (Cys-Cys), member 2|small-inducible cytokine A2",17q12,17,NC_000017.11,34255285,34257203,plus,3,158105
9606,Homo sapiens,2475,0,live,MTOR,"FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS",mechanistic target of rapamycin kinase,; serine/threonine-protein kinase mTOR|FK506 binding protein 12-rapamycin associated protein 2|FK506-binding protein 12-rapamycin complex-associated protein 1|FKBP-rapamycin associated protein|FKBP12-rapamycin complex-associated protein 1|mammalian target of rapamycin|mechanistic target of rapamycin (serine/threonine kinase)|rapamycin and FKBP12 target 1|rapamycin associated protein FRAP2|rapamycin target protein 1,1p36.22,1,NC_000001.11,11106535,11273497,minus,60,601231
9606,Homo sapiens,4879,0,live,NPPB,BNP,natriuretic peptide B,; natriuretic peptides B|brain type natriuretic peptide|gamma-brain natriuretic peptide|natriuretic peptide precursor B|natriuretic protein,1p36.22,1,NC_000001.11,11857464,11858945,minus,3,600295
9606,Homo sapiens,51738,0,live,GHRL,MTLRP,ghrelin and obestatin prepropeptide,"; appetite-regulating hormone|In2c-preproghrelin|ghrelin, growth hormone secretagogue receptor ligand|ghrelin/obestatin preprohormone|ghrelin/obestatin prepropeptide|growth hormone-releasing peptide|motilin-related peptide|prepro-appetite regulatory hormone|preproghrelin",3p25.3,3,NC_000003.12,10285666,10292947,minus,7,605353
9606,Homo sapiens,2332,0,live,FMR1,"FMRP, FRAXA, POF, POF1",FMRP translational regulator 1,; synaptic functional regulator FMR1|fragile X mental retardation 1|fragile X mental retardation protein 1|truncated FMRP,Xq27.3,X,NC_000023.11,147911919,147951127,plus,17,309550
9606,Homo sapiens,7852,0,live,CXCR4,"CD184, D2S201E, FB22, HM89, HSY3RR, LAP-3, LAP3, LCR1, LESTR, NPY3R, NPYR, NPYRL, NPYY3R, WHIM, WHIMS",C-X-C motif chemokine receptor 4,"; C-X-C chemokine receptor type 4|CD184 antigen|LPS-associated protein 3|SDF-1 receptor|chemokine (C-X-C motif) receptor 4|chemokine receptor|fusin|leukocyte-derived seven transmembrane domain receptor|lipopolysaccharide-associated protein 3|neuropeptide Y receptor Y3|neuropeptide Y3 receptor|seven transmembrane helix receptor|seven-transmembrane-segment receptor, spleen|stromal cell-derived factor 1 receptor",2q22.1,2,NC_000002.12,136114349,136118149,minus,4,162643
9606,Homo sapiens,595,0,live,CCND1,"BCL1, D11S287E, PRAD1, U21B31",cyclin D1,; G1/S-specific cyclin-D1|B-cell CLL/lymphoma 1|B-cell lymphoma 1 protein|BCL-1 oncogene|PRAD1 oncogene,11q13.3,11,NC_000011.10,69641156,69654474,plus,5,168461
9606,Homo sapiens,675,0,live,BRCA2,"BRCC2, BROVCA2, FACD, FAD, FAD1, FANCD, FANCD1, GLM3, PNCA2, XRCC11",BRCA2 DNA repair associated,"; breast cancer type 2 susceptibility protein|BRCA1/BRCA2-containing complex, subunit 2|Fanconi anemia group D1 protein|breast and ovarian cancer susceptibility gene, early onset|breast and ovarian cancer susceptibility protein 2|breast cancer 2 tumor suppressor|breast cancer 2, early onset|mutant BRCA2|truncated breast cancer 2",13q13.1,13,NC_000013.11,32315480,32399672,plus,27,600185
9606,Homo sapiens,6531,0,live,SLC6A3,"DAT, DAT1, PKDYS, PKDYS1",solute carrier family 6 member 3,"; sodium-dependent dopamine transporter|DA transporter|dopamine transporter 1|solute carrier family 6 (neurotransmitter transporter), member 3|solute carrier family 6 (neurotransmitter transporter, dopamine), member 3",5p15.33,5,NC_000005.10,1392794,1445440,minus,15,126455
9606,Homo sapiens,177,0,live,AGER,"RAGE, SCARJ1",advanced glycosylation end-product specific receptor,; advanced glycosylation end product-specific receptor|RAGE isoform NtRAGE-delta|RAGE isoform sRAGE-delta|receptor for advanced glycation end-products variant 20,6p21.32,6,NC_000006.12,32180968,32184380,minus,11,600214
9606,Homo sapiens,4313,0,live,MMP2,"CLG4, CLG4A, MMP-2, MMP-II, MONA, TBE-1",matrix metallopeptidase 2,"; 72 kDa type IV collagenase|collagenase type IV-A|matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)|matrix metalloproteinase-2|matrix metalloproteinase-II|neutrophil gelatinase",16q12.2,16,NC_000016.10,55478830,55506691,plus,17,120360
9606,Homo sapiens,2932,0,live,GSK3B,,glycogen synthase kinase 3 beta,; glycogen synthase kinase-3 beta|GSK-3 beta|GSK3beta isoform|serine/threonine-protein kinase GSK3B,3q13.33,3,NC_000003.12,119821321,120095823,minus,13,605004
9606,Homo sapiens,1012,0,live,CDH13,"CDHH, P105",cadherin 13,"; cadherin-13|H-cadherin (heart)|T-cad|T-cadherin|cadherin 13, H-cadherin (heart)|heart cadherin",16q23.3,16,NC_000016.10,82626823,83800640,plus,20,601364
9606,Homo sapiens,526,0,live,ATP6V1B2,"ATP6B1B2, ATP6B2, DOOD, HO57, VATB, VPP3, Vma2, ZLS2",ATPase H+ transporting V1 subunit B2,"; V-type proton ATPase subunit B, brain isoform|ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2|H+ transporting two-sector ATPase|V-ATPase B2 subunit|V-ATPase subunit B 2|endomembrane proton pump 58 kDa subunit|testicular secretory protein Li 65|vacuolar H+-ATPase 56,000 subunit|vacuolar proton pump subunit B 2",8p21.3,8,NC_000008.11,20197375,20226852,plus,14,606939
9606,Homo sapiens,1462,0,live,VCAN,"CSPG2, ERVR, GHAP, PG-M, WGN, WGN1",versican,; versican core protein|chondroitin sulfate proteoglycan core protein 2|glial hyaluronate-binding protein|large fibroblast proteoglycan|versican proteoglycan,5q14.2-q14.3,5,NC_000005.10,83471674,83582303,plus,15,118661
9606,Homo sapiens,5054,0,live,SERPINE1,"PAI, PAI-1, PAI1, PLANH1",serpin family E member 1,"; plasminogen activator inhibitor 1|endothelial plasminogen activator inhibitor|serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1|serpin E1|serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",7q22.1,7,NC_000007.14,101127104,101139247,plus,9,173360
9606,Homo sapiens,1234,0,live,CCR5,"CC-CKR-5, CCCKR5, CCR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22",C-C motif chemokine receptor 5 (gene/pseudogene),; C-C chemokine receptor type 5|C-C motif chemokine receptor 5 A159A|HIV-1 fusion coreceptor|chemokine (C-C motif) receptor 5|chemokine receptor CCR5|chemokine recptor CCR5 Delta32|chemr13,3p21.31,3,NC_000003.12,46370142,46376206,plus,3,601373
9606,Homo sapiens,3565,0,live,IL4,"BCGF-1, BCGF1, BSF-1, BSF1, IL-4",interleukin 4,; interleukin-4|B cell growth factor 1|B_cell stimulatory factor 1|binetrakin|interleukin 4 variant 2|lymphocyte stimulatory factor 1|pitrakinra,5q31.1,5,NC_000005.10,132673986,132682678,plus,5,147780
9606,Homo sapiens,5021,0,live,OXTR,OT-R,oxytocin receptor,; oxytocin receptor,3p25.3,3,NC_000003.12,8750403,8769614,minus,6,167055
9606,Homo sapiens,6095,0,live,RORA,"IDDECA, NR1F1, ROR1, ROR2, ROR3, RZR-ALPHA, RZRA",RAR related orphan receptor A,; nuclear receptor ROR-alpha|ROR-alpha|nuclear receptor RZR-alpha|nuclear receptor subfamily 1 group F member 1|retinoic acid receptor-related orphan receptor alpha|retinoid-related orphan receptor alpha|thyroid hormone nuclear receptor alpha variant 4|transcription factor RZR-alpha,15q22.2,15,NC_000015.10,60488284,61229302,minus,21,600825
9606,Homo sapiens,1565,0,live,CYP2D6,"CPD6, CYP2D, CYP2D7AP, CYP2D7BP, CYP2D7P2, CYP2D8P2, CYP2DL1, CYPIID6, P450-DB1, P450C2D, P450DB1",cytochrome P450 family 2 subfamily D member 6,"; cytochrome P450 2D6|cholesterol 25-hydroxylase|cytochrome P450, family 2, subfamily D, polypeptide 6|cytochrome P450, family 2, subfamily D, polypeptide 7 pseudogene 2|cytochrome P450, family 2, subfamily D, polypeptide 8 pseudogene 2|cytochrome P450, subfamily II (debrisoquine, sparteine, etc., -metabolising), polypeptide 7 pseudogene 2|cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolising), polypeptide 8 pseudogene 2|cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolizing), polypeptide 6|cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolizing)-like 1|cytochrome P450-DB1|debrisoquine 4-hydroxylase|flavoprotein-linked monooxygenase|microsomal monooxygenase|nonfunctional cytochrome P450 2D6|xenobiotic monooxygenase",22q13.2,22,NC_000022.11,42126499,42130810,minus,9,124030
