tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,4128,0,live,MAOA,"BRNRS, MAO-A",monoamine oxidase A,; amine oxidase [flavin-containing] A|monoamine oxidase type A,Xp11.3,X,NC_000023.11,43654907,43746824,plus,16,309850
9606,Homo sapiens,3356,0,live,HTR2A,"5-HT2A, HTR2",5-hydroxytryptamine receptor 2A,"; 5-hydroxytryptamine receptor 2A|5-HT2 receptor|5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled|serotonin 5-HT-2A receptor",13q14.2,13,NC_000013.11,46831542,46897076,minus,4,182135
9606,Homo sapiens,217,0,live,ALDH2,"ALDH-E2, ALDHI, ALDM",aldehyde dehydrogenase 2 family member,"; aldehyde dehydrogenase, mitochondrial|ALDH class 2|acetaldehyde dehydrogenase 2|aldehyde dehydrogenase 2 family (mitochondrial)|epididymis secretory sperm binding protein|liver mitochondrial ALDH|nucleus-encoded mitochondrial aldehyde dehydrogenase 2",12q24.12,12,NC_000012.12,111766933,111817532,plus,13,100650
9606,Homo sapiens,6352,0,live,CCL5,"D17S136E, RANTES, SCYA5, SIS-delta, SISd, TCP228, eoCP",C-C motif chemokine ligand 5,"; C-C motif chemokine 5|T-cell specific protein p288|beta-chemokine RANTES|chemokine (C-C motif) ligand 5|eosinophil chemotactic cytokine|regulated upon activation, normally T-expressed, and presumably secreted|small inducible cytokine subfamily A (Cys-Cys), member 5",17q12,17,NC_000017.11,35871491,35880360,minus,4,187011
9606,Homo sapiens,4988,0,live,OPRM1,"LMOR, M-OR-1, MOP, MOR, MOR1, OPRM",opioid receptor mu 1,; mu-type opioid receptor|mu opiate receptor|mu opioid receptor hMOR-1a,6q25.2,6,NC_000006.12,154010496,154246867,plus,17,600018
9606,Homo sapiens,1268,0,live,CNR1,"CANN6, CB-R, CB1, CB1A, CB1K5, CB1R, CNR",cannabinoid receptor 1,; cannabinoid receptor 1|cannabinoid receptor 1 (brain)|central cannabinoid receptor,6q15,6,NC_000006.12,88139864,88167349,minus,8,114610
9606,Homo sapiens,1385,0,live,CREB1,"CREB, CREB-1",cAMP responsive element binding protein 1,"; cyclic AMP-responsive element-binding protein 1|active transcription factor CREB|cAMP-response element-binding protein-1|cyclic adenosine 3',5'-monophosphate response element binding protein|cyclic adenosine 3',5'-monophosphate response element-binding protein CREB|transactivator protein",2q33.3,2,NC_000002.12,207529943,207605988,plus,13,123810
9606,Homo sapiens,5021,0,live,OXTR,OT-R,oxytocin receptor,; oxytocin receptor,3p25.3,3,NC_000003.12,8750403,8769614,minus,6,167055
9606,Homo sapiens,3350,0,live,HTR1A,"5-HT-1A, 5-HT1A, 5HT1a, ADRB2RL1, ADRBRL1, G-21, PFMCD",5-hydroxytryptamine receptor 1A,"; 5-hydroxytryptamine receptor 1A|5-HT1a receptor|5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled|guanine nucleotide-binding regulatory protein-coupled receptor",5q12.3,5,NC_000005.10,63960048,63962292,minus,1,109760
9606,Homo sapiens,1814,0,live,DRD3,"D3DR, ETM1, FET1",dopamine receptor D3,; D(3) dopamine receptor|essential tremor 1,3q13.31,3,NC_000003.12,114127580,114199407,minus,10,126451
9606,Homo sapiens,4852,0,live,NPY,PYY4,neuropeptide Y,; pro-neuropeptide Y|prepro-neuropeptide Y,7p15.3,7,NC_000007.14,24284190,24291862,plus,4,162640
9606,Homo sapiens,121278,0,live,TPH2,"ADHD7, NTPH",tryptophan hydroxylase 2,; tryptophan 5-hydroxylase 2|neuronal tryptophan hydroxylase|tryptophan 5-monooxygenase 2,12q21.1,12,NC_000012.12,71938845,72032440,plus,13,607478
9606,Homo sapiens,1394,0,live,CRHR1,"CRF-R, CRF-R-1, CRF-R1, CRF1, CRFR-1, CRFR1, CRH-R-1, CRH-R1, CRHRL, CRHR1",corticotropin releasing hormone receptor 1,; corticotropin-releasing factor receptor 1|CRH receptor 1|corticotropin-releasing factor type 1 receptor|seven transmembrane helix receptor,17q21.31,17,NC_000017.11,45784280,45835828,plus,14,122561
9606,Homo sapiens,706,0,live,TSPO,"BPBS, BZRP, DBI, IBP, MBR, PBR, PBS, PKBS, PTBR, mDRC, pk18",translocator protein,; translocator protein|benzodiazepine peripheral binding site|mitochondrial benzodiazepine receptor|peripheral-type benzodiazepine receptor,22q13.2,22,NC_000022.11,43151559,43163242,plus,5,109610
9606,Homo sapiens,1269,0,live,CNR2,"CB-2, CB2, CX5",cannabinoid receptor 2,; cannabinoid receptor 2|cannabinoid receptor 2 (macrophage)|testis-dominant CNR2 isoform CB2,1p36.11,1,NC_000001.11,23870515,23913362,minus,6,605051
9606,Homo sapiens,7166,0,live,TPH1,"TPRH, TRPH",tryptophan hydroxylase 1,; tryptophan 5-hydroxylase 1|L-tryptophan hydroxylase|indoleacetic acid-5-hydroxylase|tryptophan 5-monooxygenase 1|tryptophan hydroxylase (tryptophan 5-monooxygenase),11p15.1,11,NC_000011.10,18017555,18046269,minus,11,191060
9606,Homo sapiens,5020,0,live,OXT,"OT, OT-NPI-NPI, OXT",oxytocin/neurophysin I prepropeptide,"; oxytocin-neurophysin 1|neurophysin I|oxytocin, prepro- (neurophysin I)|oxytocin, prepropeptide|oxytocin-neurophysin I, preproprotein",20p13,20,NC_000020.11,3068871,3072517,plus,4,167050
9606,Homo sapiens,2166,0,live,FAAH,"FAAH-1, PSAB",fatty acid amide hydrolase,; fatty-acid amide hydrolase 1|anandamide amidohydrolase 1|oleamide hydrolase 1,1p33,1,NC_000001.11,46394317,46413845,plus,15,602935
9606,Homo sapiens,5997,0,live,RGS2,G0S8,regulator of G protein signaling 2,"; regulator of G-protein signaling 2|G0 to G1 switch regulatory 8, 24kD|G0/G1 switch regulatory protein 8|cell growth-inhibiting gene 31 protein|cell growth-inhibiting protein 31|regulator of G-protein signaling 2, 24kDa",1q31.2,1,NC_000001.11,192809039,192812275,plus,5,600861
9606,Homo sapiens,387129,0,live,NPSR1,"ASRT2, GPR154, GPRA, NPSR, PGR14, VRR1",neuropeptide S receptor 1,; neuropeptide S receptor|G-protein coupled receptor 154|G-protein coupled receptor PGR14|G-protein coupled receptor for asthma susceptibility|vasopressin receptor-related receptor 1,7p14.3,7,NC_000007.14,34658218,34878332,plus,11,608595
9606,Homo sapiens,5715,0,live,PSMD9,"Rpn4, p27","proteasome 26S subunit, non-ATPase 9","; 26S proteasome non-ATPase regulatory subunit 9|26S proteasome regulatory subunit p27|homolog of rat Bridge 1|proteasome (prosome, macropain) 26S subunit, non-ATPase, 9|proteasome 26S non-ATPase regulatory subunit 9",12q24.31,12,NC_000012.12,121888790,121918297,plus,6,603146
9606,Homo sapiens,54715,0,live,RBFOX1,"2BP1, A2BP1, FOX-1, FOX1, HRNBP1",RNA binding fox-1 homolog 1,"; RNA binding protein fox-1 homolog 1|RNA binding protein, fox-1 homolog 1|ataxin 2-binding protein 1|fox-1 homolog A|fox-1-like RNA-binding protein 1|hexaribonucleotide binding protein 1 isoform alpha|hexaribonucleotide binding protein 1 isoform beta|hexaribonucleotide-binding protein 1",16p13.3,16,NC_000016.10,5239752,7713343,plus,29,605104
9606,Homo sapiens,60481,0,live,ELOVL5,"HELO1, SCA38, dJ483K16.1",ELOVL fatty acid elongase 5,"; elongation of very long chain fatty acids protein 5|3-keto acyl-CoA synthase ELOVL5|ELOVL FA elongase 5|ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)|fatty acid elongase 1|homolog of yeast long chain polyunsaturated fatty acid elongation enzyme 2|spinocerebellar ataxia 38|very long chain 3-ketoacyl-CoA synthase 5|very long chain 3-oxoacyl-CoA synthase 5",6p12.1,6,NC_000006.12,53267398,53349179,minus,10,611805
9606,Homo sapiens,55351,0,live,STK32B,"HSA250839, STK32, STKG6, YANK2",serine/threonine kinase 32B,; serine/threonine-protein kinase 32B|gene for serine/threonine protein kinase|yet another novel kinase 2,4p16.2,4,NC_000004.12,5051480,5500994,plus,19,
